0,,Manufacturer,Category,Screen,GPU,OS,CPU_core,Screen_Size_cm,CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_kg,Price
1,0.0,Acer,4,IPS Panel,2,1,5,35.56,1.6,8,256,1.6,978
2,1.0,Dell,3,Full HD,1,1,3,39.624,2.0,4,256,2.2,634
3,2.0,Dell,3,Full HD,1,1,7,39.624,2.7,8,256,2.2,946
4,3.0,Dell,4,IPS Panel,2,1,5,33.782,1.6,8,128,1.22,1244
5,4.0,HP,4,Full HD,2,1,7,39.624,1.8,8,256,1.91,837
6,5.0,Dell,3,Full HD,1,1,5,39.624,1.6,8,256,2.2,1016
7,6.0,HP,3,Full HD,3,1,5,39.624,1.6,8,256,2.1,1117
8,7.0,Acer,3,IPS Panel,2,1,5,38.1,1.6,4,256,2.2,866
9,8.0,Dell,3,Full HD,1,1,5,39.624,2.5,4,256,2.3,812
10,9.0,Acer,3,IPS Panel,3,1,7,38.1,1.8,8,256,2.2,1068
11,10.0,Dell,3,Full HD,1,1,7,39.624,1.8,8,256,2.13,975
12,11.0,HP,3,Full HD,2,1,3,39.624,2.0,4,128,1.91,558
13,12.0,Asus,3,Full HD,2,2,3,39.624,2.0,4,256,2,527
14,13.0,Dell,4,Full HD,2,1,5,35.56,1.6,8,256,1.7,1117
15,14.0,Asus,3,Full HD,2,1,5,35.56,1.6,8,256,1.4,1195
16,15.0,HP,3,Full HD,2,1,5,39.624,2.5,8,256,1.86,876
17,16.0,Dell,4,IPS Panel,1,1,7,33.02,1.8,8,256,1.4,1213
18,17.0,Dell,3,Full HD,1,1,7,39.624,1.8,8,256,2.2,1105
19,18.0,Dell,4,IPS Panel,2,1,5,38.1,1.6,8,256,1.88,1392
20,19.0,HP,3,Full HD,2,1,5,35.56,1.6,8,256,1.63,1092
21,20.0,HP,4,IPS Panel,3,1,7,38.1,1.8,8,256,1.83,888
22,21.0,HP,3,Full HD,2,1,5,39.624,2.5,8,256,1.96,761
23,22.0,Dell,4,IPS Panel,2,1,7,33.02,1.8,8,256,1.21,2095
24,23.0,Dell,1,Full HD,3,1,5,39.624,2.5,8,256,2.65,1518
25,24.0,Asus,4,Full HD,2,1,7,35.56,2.7,8,256,1.25,1333
26,25.0,Dell,3,Full HD,1,2,3,39.624,2.0,4,256,2.2,616
27,26.0,Asus,3,Full HD,3,1,3,39.624,2.4,6,256,2,733
28,27.0,HP,3,Full HD,1,1,7,39.624,2.7,8,256,1.91,913
29,28.0,HP,4,IPS Panel,3,1,7,33.02,2.7,8,256,1.38,1421
30,29.0,HP,3,IPS Panel,3,1,5,35.56,2.5,6,256,,837
31,30.0,Asus,4,IPS Panel,3,1,7,35.56,2.7,8,256,1.3,1515
32,31.0,Lenovo,3,IPS Panel,2,1,7,35.56,2.7,8,256,1.58,1880
33,32.0,Dell,4,IPS Panel,2,1,5,33.02,1.6,8,256,1.21,2069
